Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
161,160.645,-0.5772,5.9543,5.9822,3.7162
162,161.642,-0.573,6.031,6.0582,3.7392
163,162.639,-0.5704,6.1046,6.1312,3.7614
164,163.636,-0.5662,6.1803,6.2062,3.7845
165,164.633,-0.5619,6.2579,6.2831,3.8085
166,165.631,-0.5556,6.3343,6.3586,3.8301
167,166.628,-0.5492,6.408,6.4315,3.8511
168,167.625,-0.5414,6.4853,6.5078,3.8739
169,168.621,-0.5355,6.5637,6.5855,3.8973
170,169.619,-0.526,6.6403,6.6611,3.9179
171,170.616,-0.5199,6.7146,6.7347,3.9383
172,171.613,-0.5156,6.7926,6.8122,3.9608
173,172.609,-0.5102,6.8728,6.8917,3.9842
174,173.606,-0.507,6.9629,6.9814,4.0119
175,174.602,-0.4997,7.0461,7.0638,4.0364
176,175.598,-0.4928,7.1286,7.1456,4.0602
177,176.595,-0.4842,7.2083,7.2246,4.0822
178,177.592,-0.4768,7.2905,7.3061,4.1041
179,178.589,-0.4699,7.3668,7.3818,4.1238
180,179.586,-0.4611,7.4448,7.4591,4.1441
181,180.583,-0.4506,7.5198,7.5333,4.1626
182,181.58,-0.4396,7.5994,7.6121,4.1821
183,182.576,-0.4295,7.6789,7.6909,4.2026
184,183.573,-0.4189,7.7569,7.7683,4.2221
185,184.57,-0.4096,7.834,7.8447,4.2409
186,185.567,-0.3991,7.9124,7.9225,4.259
187,186.565,-0.3881,7.982,7.9915,4.2734
188,187.562,-0.3746,8.0533,8.0621,4.2886
189,188.559,-0.3581,8.1258,8.1337,4.3041
190,189.556,-0.3412,8.2039,8.211,4.3212
191,190.553,-0.3246,8.2777,8.2841,4.3372
192,191.55,-0.3088,8.3521,8.3578,4.3533
193,192.547,-0.2927,8.4258,8.4309,4.3688
194,193.544,-0.2715,8.5059,8.5103,4.3864
195,194.541,-0.2504,8.5806,8.5842,4.4021
196,195.537,-0.2272,8.6581,8.661,4.4191
197,196.534,-0.2017,8.7335,8.7358,4.435
198,197.531,-0.1737,8.8133,8.8151,4.4517
199,198.528,-0.1496,8.8902,8.8914,4.468
200,199.524,-0.1232,8.9687,8.9695,4.485
201,200.52,-0.0957,9.0461,9.0467,4.5013
202,201.517,-0.065,9.1276,9.1278,4.5184
203,202.513,-0.0321,9.2026,9.2027,4.5333
204,203.51,0.0025,9.2744,9.2744,4.5465
205,204.507,0.041,9.3443,9.3444,4.5587
206,205.503,0.0848,9.4194,9.4197,4.5723
207,206.499,0.1296,9.4929,9.4938,4.5863
208,207.496,0.1756,9.5664,9.568,4.6002
209,208.491,0.2232,9.6419,9.6445,4.6151
210,209.487,0.2762,9.7223,9.7263,4.6312
211,210.482,0.3283,9.8021,9.8076,4.6481
212,211.478,0.3837,9.8823,9.8898,4.6652
213,212.473,0.4398,9.9633,9.973,4.6827
214,213.467,0.4993,10.052,10.0644,4.7027
215,214.462,0.5598,10.1369,10.1524,4.722
216,215.456,0.6219,10.2227,10.2416,4.7417
217,216.45,0.6868,10.3067,10.3296,4.7607
218,217.444,0.7545,10.3956,10.4229,4.7808
219,218.439,0.8179,10.4796,10.5115,4.7997
220,219.433,0.8821,10.5652,10.6019,4.8193
221,220.427,0.9451,10.6488,10.6906,4.8379
222,221.421,1.0127,10.7371,10.7847,4.8576
223,222.416,1.0791,10.8177,10.8714,4.875
224,223.41,1.1486,10.8972,10.9575,4.892
225,224.404,1.2189,10.9752,11.0426,4.9084
