Depth,True Vertical Depth,Borehole Northing,Borehole Easting,Total Deviation,Total Deviation
311.0,308.2,30.2,23.5,38.3,12.3
312.0,309.2,30.4,23.6,38.5,12.3
313.0,310.2,30.5,23.7,38.7,12.4
314.0,311.1,30.7,23.8,38.9,12.4
315.0,312.1,30.9,23.9,39.1,12.4
316.0,313.1,31.0,24.1,39.3,12.4
317.0,314.1,31.2,24.2,39.5,12.5
318.0,315.1,31.4,24.3,39.7,12.5
319.0,316.0,31.5,24.4,39.9,12.5
320.0,317.0,31.7,24.5,40.1,12.5
321.0,318.0,31.8,24.7,40.3,12.5
322.0,319.0,32.0,24.8,40.5,12.6
323.0,320.0,32.2,24.9,40.7,12.6
324.0,320.9,32.3,25.0,40.9,12.6
325.0,321.9,32.5,25.2,41.1,12.6
326.0,322.9,32.6,25.3,41.3,12.7
327.0,323.9,32.8,25.4,41.5,12.7
328.0,324.9,32.9,25.6,41.7,12.7
329.0,325.8,33.1,25.7,41.9,12.7
330.0,326.8,33.2,25.8,42.1,12.8
331.0,327.8,33.4,26.0,42.3,12.8
332.0,328.8,33.5,26.1,42.5,12.8
333.0,329.8,33.7,26.2,42.7,12.8
334.0,330.7,33.9,26.3,42.9,12.8
335.0,331.7,34.0,26.5,43.1,12.9
336.0,332.7,34.2,26.6,43.3,12.9
337.0,333.7,34.4,26.7,43.5,12.9
338.0,334.6,34.5,26.8,43.7,12.9
339.0,335.6,34.7,27.0,43.9,13.0
340.0,336.6,34.9,27.1,44.1,13.0
341.0,337.6,35.0,27.2,44.4,13.0
342.0,338.6,35.2,27.4,44.6,13.0
343.0,339.5,35.4,27.5,44.8,13.1
344.0,340.5,35.5,27.6,45.0,13.1
345.0,341.5,35.7,27.8,45.2,13.1
346.0,342.5,35.9,27.9,45.4,13.1
347.0,343.4,36.0,28.0,45.6,13.2
348.0,344.4,36.2,28.2,45.8,13.2
349.0,345.4,36.3,28.3,46.1,13.2
350.0,346.4,36.5,28.4,46.3,13.2
351.0,347.3,36.7,28.5,46.5,13.2
352.0,348.3,36.9,28.7,46.7,13.3
353.0,349.3,37.0,28.8,46.9,13.3
354.0,350.3,37.2,29.0,47.1,13.3
355.0,351.3,37.3,29.1,47.3,13.3
356.0,352.2,37.5,29.2,47.5,13.4
357.0,353.2,37.7,29.3,47.8,13.4
